FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
103,1810,ANDOVER,1430,"ANDOVER, TOWN OF",ESSEX,31.90687655
104,1073,SOUTHAMPTON,62710,"SOUTHAMPTON, TOWN OF",HAMPSHIRE,28.9916689
105,1270,WINDSOR,80650,"WINDSOR, TOWN OF",BERKSHIRE,28.86860859
106,1033,GRANBY,26500,"GRANBY, TOWN OF",HAMPSHIRE,28.61832318
107,2539,EDGARTOWN,21115,"EDGARTOWN, TOWN OF",DUKES,28.54978185
108,2324,BRIDGEWATER,8050,"BRIDGEWATER, TOWN OF",PLYMOUTH,28.40630877
109,1056,LUDLOW,37210,"LUDLOW, TOWN OF",HAMPDEN,28.30690691
110,1301,GREENFIELD,27060,"GREENFIELD, TOWN OF",FRANKLIN,28.15138404
111,1566,STURBRIDGE,68120,"STURBRIDGE, TOWN OF",WORCESTER,27.98352067
112,1379,WENDELL,74490,"WENDELL, TOWN OF",FRANKLIN,27.93233082
113,1564,STERLING,67350,"STERLING, TOWN OF",WORCESTER,31.6377299
114,1748,HOPKINTON,31050,"HOPKINTON, TOWN OF",MIDDLESEX,27.89493219
115,1077,SOUTHWICK,65790,"SOUTHWICK, TOWN OF",HAMPDEN,31.51247451
116,2703,ATTLEBORO,2690,ATTLEBORO,BRISTOL,27.75696424
117,1845,NORTH ANDOVER,46400,"NORTH ANDOVER, TOWN OF",ESSEX,27.64508802
118,1330,ASHFIELD,2060,"ASHFIELD, TOWN OF",FRANKLIN,27.47277368
119,2536,EAST FALMOUTH,18980,"FALMOUTH, TOWN OF",BARNSTABLE,27.42254823
120,1930,GLOUCESTER,26150,GLOUCESTER,ESSEX,27.13476012
121,1720,ACTON,345,"ACTON, TOWN OF",MIDDLESEX,19.99217641
122,1886,WESTFORD,76100,"WESTFORD, TOWN OF",MIDDLESEX,31.42984805
123,1420,FITCHBURG,23875,FITCHBURG,WORCESTER,31.10616995
124,1351,MONTAGUE,42250,"MONTAGUE, TOWN OF",FRANKLIN,19.90053091
125,2542,BUZZARDS BAY,10015,"BOURNE, TOWN OF",BARNSTABLE,19.79713837
126,1253,OTIS,51545,"OTIS, TOWN OF",BERKSHIRE,31.73196075
127,1225,CHESHIRE,13310,"CHESHIRE, TOWN OF",BERKSHIRE,30.26642936
128,1037,HARDWICK,28705,"HARDWICK, TOWN OF",WORCESTER,29.94198815
129,2766,NORTON,49935,"NORTON, TOWN OF",BRISTOL,29.65786219
130,2050,MARSHFIELD,38820,"MARSHFIELD, TOWN OF",PLYMOUTH,29.37946016
131,1569,UXBRIDGE,71585,"UXBRIDGE, TOWN OF",WORCESTER,29.82610683
