month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202101,nebraska,ne,252000,0.0273,0.0701,3034,-0.101,-0.3809,86,0.2286,-0.0058,1200,0.0204,-0.2611,324,2,3.5,336,-0.1923,-0.4,3424,-0.0781,0.4803,122.5490196,0.0117,0.0406,1906,-0.006,0.0187,317702,0.0164,0.0963,6458,-0.089,-0.1048,1.1285,0.0281,0.6566
202101,iowa,ia,219950,0.0233,0.105,7789,-0.1037,-0.4052,87,0.1299,0.0545,2304,0.1429,-0.3833,344,-0.2182,1.8667,1196,-0.3414,-0.402,5432,-0.1152,0.4528,131.7596567,0.0088,0.0912,1568,-0.0051,-0.0294,255673,0.0044,0.0698,13221,-0.1084,-0.2147,0.6974,-0.0091,0.4119
202101,north carolina,nc,350050,0.0303,0.123,16806,-0.1375,-0.5432,72,0.1429,-0.2421,8116,0.0035,-0.3122,2160,0.7476,0.8493,2528,-0.2139,-0.6589,19143,-0.0829,0.4724,152.9032258,0.0375,0.1478,1886,0.0059,-0.0328,508113,0.057,0.2126,35949,-0.1093,-0.278,1.1391,0.0678,0.7857
202101,connecticut,ct,399950,0.0387,0.1111,9719,-0.1841,-0.3586,68,0.1429,-0.3166,3292,0.151,-0.148,204,0.5,0.8214,1064,-0.1392,-0.5791,129,-0.1835,0.3299,196.1519231,0.0354,0.1443,2032,0.0084,-0.0219,911100,0.0775,0.2314,9848,-0.1841,-0.3542,0.0133,0,0.0069
202101,michigan,mi,239950,0.0252,0.1705,14380,-0.1643,-0.5359,72,0.1613,-0.1818,6632,-0.0332,-0.2945,692,0.6961,0.7475,2380,-0.2805,-0.5825,8944,-0.1558,1.1402,143.25,0.0278,0.1659,1617,-0.0089,-0.0122,370605,0.0475,0.2316,23324,-0.1611,-0.3368,0.622,0.0062,0.4871
202101,virginia,va,345745,-0.0016,0.0922,13474,-0.1401,-0.4559,63,0.1455,-0.3,7976,0.1681,-0.1212,1272,0.3475,0.6224,2132,-0.1924,-0.4981,13189,-0.1072,0.8597,171.3757592,0.0117,0.1712,1960,-0.0081,-0.0671,558321,0.0409,0.2202,26663,-0.1241,-0.163,0.9788,0.0361,0.6925
202101,montana,mt,399950,0.0086,0.1443,2337,-0.1303,-0.5245,108,0.125,-0.194,736,0.1152,-0.2784,68,0.7,0.8889,200,-0.1228,-0.5495,2442,-0.0844,0.5215,196.938246,0.0084,0.132,2144,0.018,0.0028,915433,0.0712,0.3924,4779,-0.1074,-0.267,1.0449,0.0524,0.7184
202101,wyoming,wy,265050,0,0,1662,-0.1276,-0.3475,94,0.1463,-0.251,532,0.1271,-0.05,20,0.25,0.6667,184,0,-0.3784,685,-0.0891,0.2973,126.9042316,0.0121,0.0329,2148,0.0033,0.0229,633210,0.0189,-0.0773,2347,-0.1167,-0.2367,0.4122,0.0174,0.2049
202101,nevada,nv,350050,0,0.034,7084,-0.1455,-0.3181,58,0.1262,-0.1831,3360,0.0244,-0.1411,360,0.0843,-0.011,1108,-0.2879,-0.5575,1419,-0.1268,0.0685,197.342445,0.0214,0.0928,1798,-0.0113,-0.0429,657964,0.0534,0.0508,8503,-0.1424,-0.2742,0.2003,0.0043,0.0725
202101,west virginia,wv,159950,-0.0309,0,3549,-0.1072,-0.4696,94,0.1059,-0.1754,1020,0.1697,-0.3052,92,0.15,0.5333,460,-0.2123,-0.5306,2122,-0.0912,0.5931,83.27380952,-0.0181,0.0165,1610,-0.0019,-0.0228,249064,0.0087,0.1003,5671,-0.1013,-0.2932,0.5979,0.0105,0.3988
202101,florida,fl,349550,0.0132,0.0281,83086,-0.1022,-0.3913,78,0.0685,-0.0311,32884,0.0714,-0.2614,7412,0.5327,0.9485,15476,-0.0797,-0.5832,64808,-0.0242,0.3848,211,0.0399,0.1322,1593,-0.0176,-0.0876,783078,0.0489,0.1299,147894,-0.0696,-0.1932,0.78,0.0624,0.4372
202101,pennsylvania,pa,259950,0.0017,0.1867,17960,-0.1269,-0.4494,84,0.2444,-0.1515,7428,0.1214,-0.2006,664,0.1216,0.2029,3360,-0.113,-0.4796,16322,-0.1305,1.3689,135.2040816,0.0054,0.259,1600,-0.019,-0.0436,399451,0.0299,0.2379,34282,-0.1286,-0.1322,0.9088,-0.0037,0.6976
202101,south dakota,sd,239950,-0.0021,0.0105,1724,-0.0902,-0.4084,61,-0.0687,-0.2781,632,0.2951,-0.164,36,0.5,2,132,0,-0.5352,612,-0.1118,0.4266,136.3298202,0.0201,0.0993,1740,-0.0536,-0.0816,314709,-0.0303,0.0277,2336,-0.096,-0.3012,0.355,-0.0086,0.2078
202101,new mexico,nm,281040,0.0039,0.0978,4058,-0.1073,-0.3712,81,0.1825,-0.1777,1464,0.0457,-0.1903,152,0.3103,1.5333,676,-0.0231,-0.324,2975,-0.0683,0.2884,138.3246701,-0.0102,0.0812,1958,0.001,0.0028,451225,0.0178,0.1674,7033,-0.0912,-0.1974,0.7331,0.0307,0.3754
202101,alaska,ak,300050,3.00E-04,0.0453,1320,-0.1598,-0.4236,102,0.1271,-0.0512,456,0.3412,-0.1429,24,0.5,0.2,220,0.1458,-0.45,77,-0.3246,0.2031,187.6876877,0.0496,0.1155,1632,-0.021,-0.032,397331,0.0312,0.2204,1397,-0.1709,-0.4065,0.0583,-0.0142,0.0304
